DATE_TIME,LAT_DEG,LON_DEG,POS_STRING,ALT,ALT_UNITS,DATUM,HDG_DEG,HDG_MILS,HDG_TYPE,VERT,HORIZ,VH_UNITS,NOTE
2020.01.02_11.20.44,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,332,5902,TRUE,20.4,-5.2,DEG
2020.01.02_11.20.45,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,332,5902,TRUE,21.2,-5.7,DEG
2020.01.02_11.20.47,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,337,5991,TRUE,21.6,-6.7,DEG
2020.01.02_11.20.48,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,338,6009,TRUE,22.6,-6.6,DEG
2020.01.02_11.20.49,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,342,6080,TRUE,23.9,-6.5,DEG
2020.01.02_11.20.50,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,345,6133,TRUE,23.8,-7.1,DEG
2020.01.02_11.20.52,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,347,6169,TRUE,23.8,-6.5,DEG
2020.01.02_11.20.52,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,349,6204,TRUE,23.4,-6.6,DEG
2020.01.02_11.20.53,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,352,6258,TRUE,23.9,-7.4,DEG
2020.01.02_11.20.54,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,352,6258,TRUE,23.9,-7.9,DEG
2020.01.02_11.20.55,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,354,6293,TRUE,24.6,-7.7,DEG
2020.01.02_11.20.56,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,356,6329,TRUE,25.1,-8.4,DEG
2020.01.02_11.20.56,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,357,6347,TRUE,26.3,-8.7,DEG
